BATS,LNAME,FNAME,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,TEAM,YEAR
R,Kyoyama, Masaya,9,12,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,Y,2019
R,Lopez, Jose,142,597,551,69,133,28,0,31,254,84,0,0,0,3,39,6,4,107,18,0.241,0.461,0.295,Y,2019
R,Maeda, Yamato,137,490,438,42,104,17,2,0,125,37,3,1,10,2,34,1,6,75,7,0.237,0.285,0.3,Y,2019
R,Matsui, Hyuma,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Y,2019
R,Mikami, Tomoya,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,2019
R,Minei, Hiroki,64,130,114,13,24,4,1,2,36,12,0,0,5,0,7,0,4,23,5,0.211,0.316,0.28,Y,2019
S,Mishima, Kazuki,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,2019
L,Miyamoto, Shumei,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,2019
R,Miyazaki, Toshiro,114,473,433,54,123,22,1,15,192,49,0,0,0,5,32,2,3,35,13,0.284,0.443,0.334,Y,2019
L,Momose, Hiroki,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Y,2019
R,Muto, Yuta,31,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Y,2019
R,Nakagawa, Koo,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Y,2019
R,Nakagawa, Taishi,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,2019
R,Nakai, Daisuke,79,183,161,24,40,4,0,3,53,7,2,1,3,1,18,0,0,34,9,0.248,0.329,0.322,Y,2019
L,Nakaushiro, Yuhei,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,2019
R,Onuki, Shinichi,15,19,16,1,3,0,0,0,3,0,0,0,3,0,0,0,0,6,0,0.188,0.188,0.188,Y,2019
L,Otosaka, Tomo,97,179,159,19,39,8,2,2,57,17,6,3,3,1,14,2,2,33,3,0.245,0.358,0.313,Y,2019
R,Patton, Spencer,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Y,2019
R,Saito, Shunsuke,16,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0.5,Y,2019
L,Sakaguchi, Kosuke,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Y,2019
L,Sakurai, Shuto,14,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.333,0.333,0.333,Y,2019
L,Sano, Keita,89,215,200,23,59,10,0,5,84,33,0,0,0,0,13,1,2,39,9,0.295,0.42,0.344,Y,2019
L,Sekine, Taiki,32,27,26,2,1,1,0,0,2,0,0,0,0,0,1,0,0,6,1,0.038,0.077,0.074,Y,2019
L,Shibata, Tatsuhiro,111,196,164,22,42,8,1,3,61,17,3,0,10,2,20,1,0,38,3,0.256,0.372,0.333,Y,2019
R,Shindo, Takuya,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,2019
R,Solis, Sammy,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,2019
R,Soto, Neftali,141,584,516,82,139,18,0,43,286,108,0,0,0,4,59,4,5,98,14,0.269,0.554,0.348,Y,2019
L,Sunada, Yoshiki,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,2019
R,Taira, Kentaro,15,20,19,1,2,0,0,0,2,0,0,0,1,0,0,0,0,11,0,0.105,0.105,0.105,Y,2019
L,Tobashira, Yasutaka,45,111,100,6,20,4,2,1,31,6,0,0,2,1,7,0,1,22,2,0.2,0.31,0.257,Y,2019
L,Tsutsugo, Yoshitomo,131,557,464,74,126,24,0,29,237,79,0,0,0,3,88,5,2,141,5,0.272,0.511,0.388,Y,2019
R,Yamamoto, Yudai,13,12,12,0,4,0,0,0,4,2,0,0,0,0,0,0,0,3,0,0.333,0.333,0.333,Y,2019
R,Yamasaki, Yasuaki,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,2019
L,Abe, Shinnosuke,95,192,158,15,47,8,0,7,76,27,0,0,0,2,28,2,4,23,1,0.297,0.481,0.411,G,2019
R,Adames, Samuel,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,2019
R,Cook, Ryan,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,G,2019
R,De La Rosa, Rubby,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,2019
R,Furukawa, Yuri,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,G,2019
R,Guerrero, Alex,101,333,287,33,68,16,2,21,151,54,1,0,1,1,40,2,4,59,5,0.237,0.526,0.337,G,2019
L,Hatake, Seishu,5,4,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0.5,0.5,0.667,G,2019
R,Horioka, Hayato,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,2019
L,Ikeda, Shun,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,2019
L,Imamura, Nobutaka,17,26,23,2,4,0,0,0,4,1,0,0,2,0,1,0,0,9,0,0.174,0.174,0.208,G,2019
